Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Fwd Header Length,Bwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.20.0.1,255.255.255.255,67,68,<member 'name' of 'Packet' objects>,1.3412771224975586,2,0,757,0,389,368,378.5,10.5,0,0,0.0,0.0,564.38746870625,1.4911161656704097,1.3412771224975586,0.0,1.3412771224975586,1.3412771224975586,1.3412771224975586,1.3412771224975586,0.0,1.3412771224975586,1.3412771224975586,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,729,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.6.60,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,342,0,342,342,342.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,328,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,20.52.64.201,50328,443,<member 'name' of 'Packet' objects>,0.6535618305206299,14,13,4566,7826,1494,54,326.14285714285717,420.9701138260219,1514,60,602.0,629.8178002712067,18960.715606859238,41.31208210016135,0.02513699348156269,0.05080571035902478,0.1526169776916504,0.001974821090698242,0.047522544860839844,0.0036555803739107572,0.0019090650807059252,0.009005069732666016,0.001974821090698242,0.60603928565979,0.046618406589214616,0.06508374345783027,0.1526169776916504,0.002871990203857422,0,2,0,10,26,0,0,0,4370,7644,65535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.44.137,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,348,0,348,348,348.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,334,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,104.199.241.202,49831,4070,<member 'name' of 'Packet' objects>,0.12877798080444336,2,1,119,65,65,54,59.5,5.5,65,65,65.0,0.0,1428.8156938833697,23.295908052446244,0.06438899040222168,0.019688129425048828,0.08407711982727051,0.04470086097717285,0.04470086097717285,0.04470086097717285,0.0,0.04470086097717285,0.04470086097717285,0.08407711982727051,0.08407711982727051,0.0,0.08407711982727051,0.08407711982727051,0,0,0,2,3,0,0,0,91,51,513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,35.186.224.40,49850,443,<member 'name' of 'Packet' objects>,0.023434162139892578,1,1,82,60,82,82,82.0,0.0,60,60,60.0,0.0,6059.529636789093,85.34548784209991,0.023434162139892578,0.0,0.023434162139892578,0.023434162139892578,0.0,0.0,0.0,0.0,0.0,0.023434162139892578,0.023434162139892578,0.0,0.023434162139892578,0.023434162139892578,0,0,0,1,2,0,0,0,68,46,512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,52.84.205.32,50099,443,<member 'name' of 'Packet' objects>,0.0049991607666015625,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,24204.062571537583,400.06714994276996,0.0049991607666015625,0.0,0.0049991607666015625,0.0049991607666015625,0.0,0.0,0.0,0.0,0.0,0.0049991607666015625,0.0049991607666015625,0.0,0.0049991607666015625,0.0049991607666015625,0,0,0,0,2,0,0,0,41,52,1035,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.28.239,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,330,0,330,330,330.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,316,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.34.147,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,338,0,338,338,338.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,324,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.34.116,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,342,0,342,342,342.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,328,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,18.161.216.54,50236,443,<member 'name' of 'Packet' objects>,0.003000020980834961,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,40333.05125963602,666.6620042915044,0.003000020980834961,0.0,0.003000020980834961,0.003000020980834961,0.0,0.0,0.0,0.0,0.0,0.003000020980834961,0.003000020980834961,0.0,0.003000020980834961,0.003000020980834961,0,0,0,0,2,0,0,0,41,52,516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,151.101.66.137,50237,443,<member 'name' of 'Packet' objects>,0.012909889221191406,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,9372.659821230702,154.91999704513555,0.012909889221191406,0.0,0.012909889221191406,0.012909889221191406,0.0,0.0,0.0,0.0,0.0,0.012909889221191406,0.012909889221191406,0.0,0.012909889221191406,0.012909889221191406,0,0,0,0,2,0,0,0,41,52,512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,150.171.27.10,50330,443,<member 'name' of 'Packet' objects>,1.10829496383667,74,362,5357,528039,425,54,72.39189189189189,64.15012324724684,1514,60,1458.671270718232,271.0446227416619,481276.21021889517,393.3970776973174,0.0025478045145670572,0.0018595872729544939,0.02600693702697754,0.0009920597076416016,0.22380423545837402,0.003065811444635261,0.0033193816611172032,0.02600693702697754,0.0009968280792236328,0.8844907283782959,0.002443344553531204,0.0013669181517765815,0.019842863082885742,0.0009920597076416016,0,2,0,32,435,0,0,0,4321,522971,65535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,150.171.27.10,50329,443,<member 'name' of 'Packet' objects>,0.19583916664123535,13,15,1570,7540,425,54,120.76923076923077,118.53798731997192,1514,60,502.6666666666667,620.2845225288867,46517.76330670835,142.97446460898286,0.007253302468193902,0.01125094907102446,0.06190800666809082,0.0012390613555908203,0.07632994651794434,0.006360828876495361,0.0037208427419080274,0.013039112091064453,0.0019989013671875,0.11950922012329102,0.007967281341552734,0.014684285113981586,0.06190800666809082,0.0012390613555908203,0,2,0,10,27,0,0,0,1388,7330,65535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,18.155.99.87,50238,443,<member 'name' of 'Packet' objects>,0.006001949310302734,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,20160.116946055456,333.2250734885199,0.006001949310302734,0.0,0.006001949310302734,0.006001949310302734,0.0,0.0,0.0,0.0,0.0,0.006001949310302734,0.006001949310302734,0.0,0.006001949310302734,0.006001949310302734,0,0,0,0,2,0,0,0,41,52,515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
