Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Fwd Header Length,Bwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.20.32.198,20.189.173.13,62765,443,<member 'name' of 'Packet' objects>,1.073287010192871,11,10,5353,5763,1494,54,486.6363636363636,550.8326379594099,1514,60,576.3,626.6404152302978,10356.968727314086,19.566061827419556,0.053664350509643556,0.08892047307221466,0.21880507469177246,0.0013301372528076172,0.022158145904541016,0.0022158145904541014,0.0004647562999014789,0.0030219554901123047,0.0013301372528076172,1.05112886428833,0.10511288642883301,0.10256501044653754,0.21880507469177246,0.0019030570983886719,2,2,0,8,20,0,0,0,5199,5623,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.25.213,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,338,0,338,338,338.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,324,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,142.250.182.14,62676,443,<member 'name' of 'Packet' objects>,0.00905609130859375,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,13361.172704296547,220.8458298230834,0.00905609130859375,0.0,0.00905609130859375,0.00905609130859375,0.0,0.0,0.0,0.0,0.0,0.00905609130859375,0.00905609130859375,0.0,0.00905609130859375,0.00905609130859375,0,0,0,0,2,0,0,0,41,52,511,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,140.82.113.26,62637,443,<member 'name' of 'Packet' objects>,14.955819845199585,2,3,138,205,83,55,69.0,14.0,79,60,68.33333333333333,7.93025150224688,22.934215813658238,0.33431801477635914,3.7389549612998962,6.1953229884139835,14.468252897262573,0.004081010818481445,0.004081010818481445,0.004081010818481445,0.0,0.004081010818481445,0.004081010818481445,14.951738834381104,4.983912944793701,6.7064412608353265,14.468252897262573,0.23991894721984863,0,0,0,2,5,0,0,0,110,163,512,0,2.0,0.0,2.0,2.0,14.468252897262573,0.0,14.468252897262573,14.468252897262573
10.20.23.16,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,338,0,338,338,338.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,324,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,160.79.104.10,62734,443,<member 'name' of 'Packet' objects>,0.007266044616699219,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,16652.8016800105,275.2529203307521,0.007266044616699219,0.0,0.007266044616699219,0.007266044616699219,0.0,0.0,0.0,0.0,0.0,0.007266044616699219,0.007266044616699219,0.0,0.007266044616699219,0.007266044616699219,0,0,0,0,2,0,0,0,41,52,508,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,74.125.24.188,61733,5228,<member 'name' of 'Packet' objects>,0.057769060134887695,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,2094.5467992290583,34.620608251719965,0.057769060134887695,0.0,0.057769060134887695,0.057769060134887695,0.0,0.0,0.0,0.0,0.0,0.057769060134887695,0.057769060134887695,0.0,0.057769060134887695,0.057769060134887695,0,0,0,0,2,0,0,0,41,52,510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,34.102.213.72,62723,443,<member 'name' of 'Packet' objects>,0.05178213119506836,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,2336.7134030111883,38.623362033242785,0.05178213119506836,0.0,0.05178213119506836,0.05178213119506836,0.0,0.0,0.0,0.0,0.0,0.05178213119506836,0.05178213119506836,0.0,0.05178213119506836,0.05178213119506836,0,0,0,0,2,0,0,0,41,52,510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,35.174.127.31,62441,443,<member 'name' of 'Packet' objects>,2.205098867416382,6,7,870,960,293,54,145.0,105.09360906671093,315,60,137.14285714285714,112.62380942313926,829.8947621083908,5.89542727180824,0.18375823895136514,0.1826494292674987,0.5017259120941162,0.0009989738464355469,1.2257015705108643,0.20428359508514404,0.19668990994885074,0.5017259120941162,0.0010008811950683594,0.9793972969055176,0.16323288281758627,0.16490035433243339,0.3902111053466797,0.0009989738464355469,0,0,0,7,13,0,0,0,786,862,0,734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,160.79.104.10,62715,443,<member 'name' of 'Packet' objects>,0.03871417045593262,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,3125.470559616699,51.66067040688759,0.03871417045593262,0.0,0.03871417045593262,0.03871417045593262,0.0,0.0,0.0,0.0,0.0,0.03871417045593262,0.03871417045593262,0.0,0.03871417045593262,0.03871417045593262,0,0,0,0,2,0,0,0,41,52,2053,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
